src_A_mod64,src_l_mod4,dst_Aplus_mod64,dst_lplus_mod4,count,prob,src_total
8,0,22,0,15,0.055970149253731345,268
8,0,18,0,15,0.055970149253731345,268
8,1,2,0,21,0.07608695652173914,276
8,1,6,0,21,0.07608695652173914,276
8,1,10,0,20,0.07246376811594203,276
8,1,18,0,19,0.06884057971014493,276
8,1,14,0,19,0.06884057971014493,276
8,1,62,0,18,0.06521739130434782,276
8,1,42,0,18,0.06521739130434782,276
8,1,22,0,18,0.06521739130434782,276
8,1,46,0,17,0.06159420289855073,276
8,1,38,0,17,0.06159420289855073,276
8,1,26,0,17,0.06159420289855073,276
8,1,34,0,15,0.05434782608695652,276
8,1,30,0,15,0.05434782608695652,276
8,1,58,0,14,0.050724637681159424,276
8,1,50,0,14,0.050724637681159424,276
8,1,54,0,13,0.04710144927536232,276
8,2,54,0,19,0.07224334600760456,263
8,2,50,0,19,0.07224334600760456,263
8,2,46,0,19,0.07224334600760456,263
8,2,42,0,18,0.06844106463878327,263
8,2,2,0,18,0.06844106463878327,263
8,2,62,0,18,0.06844106463878327,263
8,2,58,0,18,0.06844106463878327,263
8,2,38,0,17,0.06463878326996197,263
8,2,10,0,16,0.060836501901140684,263
8,2,6,0,16,0.060836501901140684,263
8,2,34,0,15,0.057034220532319393,263
8,2,26,0,15,0.057034220532319393,263
8,2,30,0,14,0.053231939163498096,263
8,2,22,0,14,0.053231939163498096,263
8,2,14,0,14,0.053231939163498096,263
8,2,18,0,13,0.049429657794676805,263
8,3,58,0,17,0.06827309236947791,249
8,3,46,0,17,0.06827309236947791,249
8,3,42,0,17,0.06827309236947791,249
8,3,2,0,17,0.06827309236947791,249
8,3,54,0,16,0.0642570281124498,249
8,3,50,0,16,0.0642570281124498,249
8,3,38,0,16,0.0642570281124498,249
8,3,30,0,16,0.0642570281124498,249
8,3,62,0,16,0.0642570281124498,249
8,3,34,0,15,0.060240963855421686,249
8,3,14,0,15,0.060240963855421686,249
8,3,6,0,15,0.060240963855421686,249
8,3,26,0,14,0.05622489959839357,249
8,3,22,0,14,0.05622489959839357,249
8,3,18,0,14,0.05622489959839357,249
8,3,10,0,14,0.05622489959839357,249
10,0,56,0,66,0.25882352941176473,255
10,0,40,0,64,0.25098039215686274,255
10,0,8,0,63,0.24705882352941178,255
10,0,24,0,62,0.24313725490196078,255
10,1,8,0,66,0.25190839694656486,262
10,1,24,0,66,0.25190839694656486,262
10,1,40,0,65,0.2480916030534351,262
10,1,56,0,65,0.2480916030534351,262
10,2,40,0,69,0.2509090909090909,275
10,2,56,0,69,0.2509090909090909,275
10,2,24,0,69,0.2509090909090909,275
10,2,8,0,68,0.24727272727272728,275
10,3,24,0,67,0.25475285171102663,263
10,3,8,0,66,0.2509505703422053,263
10,3,40,0,65,0.24714828897338403,263
10,3,56,0,65,0.24714828897338403,263
12,0,0,2,20,0.07874015748031496,254
12,0,60,2,19,0.07480314960629922,254
12,0,56,2,18,0.07086614173228346,254
12,0,4,2,18,0.07086614173228346,254
12,0,48,2,17,0.06692913385826772,254
12,0,52,2,17,0.06692913385826772,254
12,0,24,2,16,0.06299212598425197,254
12,0,28,2,16,0.06299212598425197,254
12,0,44,2,16,0.06299212598425197,254
12,0,8,2,15,0.05905511811023622,254
12,0,20,2,14,0.05511811023622047,254
12,0,32,2,14,0.05511811023622047,254
12,0,40,2,14,0.05511811023622047,254
12,0,36,2,13,0.051181102362204724,254
12,0,12,2,12,0.047244094488188976,254
12,0,16,2,12,0.047244094488188976,254
12,0,16,3,1,0.003937007874015748,254
12,0,20,3,1,0.003937007874015748,254
12,0,24,1,1,0.003937007874015748,254
12,1,24,2,19,0.07224334600760456,263
12,1,28,2,19,0.07224334600760456,263
12,1,32,2,19,0.07224334600760456,263
12,1,36,2,19,0.07224334600760456,263
12,1,40,2,19,0.07224334600760456,263
12,1,20,2,18,0.06844106463878327,263
12,1,44,2,18,0.06844106463878327,263
12,1,48,2,17,0.06463878326996197,263
12,1,60,2,15,0.057034220532319393,263
12,1,8,2,15,0.057034220532319393,263
12,1,16,2,15,0.057034220532319393,263
12,1,52,2,15,0.057034220532319393,263
12,1,0,2,14,0.053231939163498096,263
12,1,12,2,14,0.053231939163498096,263
12,1,56,2,14,0.053231939163498096,263
12,1,4,2,13,0.049429657794676805,263
12,2,36,2,18,0.06844106463878327,263
12,2,40,2,18,0.06844106463878327,263
12,2,52,2,17,0.06463878326996197,263
12,2,12,2,17,0.06463878326996197,263
12,2,16,2,17,0.06463878326996197,263
12,2,24,2,17,0.06463878326996197,263
12,2,44,2,16,0.060836501901140684,263
12,2,48,2,16,0.060836501901140684,263
12,2,60,2,16,0.060836501901140684,263
12,2,0,2,16,0.060836501901140684,263
12,2,4,2,16,0.060836501901140684,263
12,2,8,2,16,0.060836501901140684,263
12,2,20,2,16,0.060836501901140684,263
12,2,28,2,16,0.060836501901140684,263
12,2,32,2,16,0.060836501901140684,263
12,2,56,2,15,0.057034220532319393,263
